"GEO";"GEO_OBJECT";"TRANS";"AGE";"EMPSTA_ENQ";"WORK_AREA";"RP_MEASURE";"FREQ";"OBS_STATUS";TIME_PERIOD;OBS_VALUE
"246300701";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;12387,572277
"244500542";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;68,212771
"244301099";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;152,539507
"200072882";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;519,931524
"200073096";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1243,150391
"200035756";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;66,111753
"200067742";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;702,383932
"242504181";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;753,922434
"247800584";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;8881,348519
"241200658";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;226,389949
"246000848";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;567,977853
"248900383";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;275,834965
"245501184";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;176,126017
"243400470";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;878,847641
"240800821";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;809,056991
"200070159";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;443,846491
"200068294";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;269,855124
"200072999";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;702,660555
"245700372";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1106,844872
"241900133";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;222,182598
"246600464";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;369,208999
"200023307";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;664,442994
"200039949";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;875,462435
"200067155";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;610,349999
"200071868";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;557,943608
"200067189";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;312,383869
"248200065";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;201,090272
"244200622";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;395,927755
"200023414";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;15247,502758
"200041861";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;142,595312
"200042620";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;236,830217
"200041366";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;521,186591
"200040764";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;466,081381
"246900724";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;442,344981
"200069029";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1553,09936
"200068831";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;443,731888
"200065787";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;765,631262
"200070233";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;659,04436
"200070589";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;198,388153
"200068112";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1137,910841
"200071884";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;888,85139
"200040277";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2018,631077
"200068559";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;719,140607
"200067023";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;961,398613
"200023125";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;836,938248
"242900660";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;291,795757
"241200914";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;213,648718
"200043396";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2273,138715
"240700302";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;181,816188
"200067437";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1407,767813
"200072304";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;454,24226
"200035319";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2293,043449
"243300811";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;139,944047
"246200364";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;3756,081672
"244301123";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;212,30746
"243500667";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;453,809482
"248500563";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;211,060551
"200034833";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;297,497424
"200035731";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2596,316041
"200040715";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;15220,769892
"200096675";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;197,871337
"248500191";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;189,397438
"246200844";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;253,607778
"200066405";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;307,322906
"200072643";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;824,13461
"200070670";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;433,820946
"200071207";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;165,574798
"200041788";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1927,289609
"240600551";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;4582,613032
"244300307";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;214,143358
"243000650";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;528,483213
"247200132";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;5960,864088
"240200477";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1610,804209
"200041762";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1594,940612
"240200444";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;745,639866
"245400601";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;545,180338
"200066108";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;311,880427
"200070142";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;256,397644
"200070563";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;878,403391
"243301181";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;205,214097
"247400617";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;733,72478
"243301371";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;270,267221
"241927201";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1096,262509
"243301397";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;143,323806
"246301097";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;201,393287
"200071058";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;398,018265
"200068930";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;281,435899
"200066892";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;159,549751
"244700464";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;181,08431
"243000643";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;7324,277117
"245600440";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;107,048656
"243500550";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;498,985647
"247600604";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;58,879333
"200027183";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;5778,278979
"200066801";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;446,132088
"200069821";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1080,262192
"200040400";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;320,605981
"200058360";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;311,34941
"200067866";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;496,146414
"200072031";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1203,946733
"247000714";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;129,273131
"245701222";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1147,070719
"200067627";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;383,533523
"200040905";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;515,881924
"200068377";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;914,354645
"200071769";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;235,354021
"200067908";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;129,212684
"200067767";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;291,365521
"200073146";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;247,096959
"200041440";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;135,550375
"243800604";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1939,622518
"249100157";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;283,241354
"200069425";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1948,168484
"200073401";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;323,405357
"200071181";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;672,74814
"200090579";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;643,365515
"247600729";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;295,202326
"247300262";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;120,400876
"243301215";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;166,682653
"247103864";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;65,942809
"200041853";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;94,528863
"200018083";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;381,694668
"200043495";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1058,317932
"200071025";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;236,911072
"200065597";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;7576,596191
"200069433";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;294,094986
"200043354";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;325,691209
"248719361";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;185,713868
"240300657";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;76,81395
"200023737";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1619,744197
"200044253";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;323,955616
"200067361";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1204,656417
"200068641";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1413,341922
"240200576";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;452,792146
"200069060";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;199,642796
"200070449";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;552,978983
"245400262";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;824,664645
"200030674";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1240,466722
"200067049";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;259,250273
"200041499";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;354,794074
"200070852";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;392,383984
"200030658";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;369,118426
"249740085";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2627,72399
"248400053";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1567,143683
"200040392";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;3256,176261
"200034700";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1649,744099
"200068096";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;427,401479
"240100883";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1462,374246
"242320000";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;152,090332
